p1,p2,symmetry_class,symmetry_num,esrgan_combined,esrgan_diff,esrgan_min,jpeg_combined,jpeg_diff,jpeg_q_combined,freq_radius_sum,pred_esrgan_nc,pred_jpeg_nc,pred_combined,pred_min_nc,pareto_optimal
"(1, 4)","(5, 0)",near-symmetric,1,15.519939357804578,5.294788162035701,5.1125755978844385,7.73708869424113,0.2943078382084292,50.0,9.123105625617661,0.36070395244539155,0.8681818181818182,0.5268769169217804,0.36070395244539155,False
"(1, 4)","(5, 1)",near-symmetric,1,14.679866189366749,6.134861330473529,4.27250242944661,7.601201807256437,0.4301947251931213,61.0,9.222125139210444,0.4182204243398625,0.8181818181818181,0.546386800058463,0.4182204243398625,False
"(1, 4)","(5, 2)",near-symmetric,1,14.313111597429117,6.501615922411162,3.905747837508978,7.435751386173997,0.5956451462755625,81.0,9.508270432752164,0.44333065398637705,0.7272727272727273,0.5341802105736444,0.44333065398637705,False
"(1, 4)","(5, 3)",asymmetric,0,14.081586287377284,6.7331412324629945,3.6742225274571454,7.6047275023808485,0.4266690300687106,90.0,9.95405752046296,0.4591822720224795,0.6863636363636363,0.48141845412257855,0.4591822720224795,False
"(1, 4)","(5, 4)",asymmetric,0,13.917337754969026,6.897389764871252,3.5099739950488873,8.1402194914726,0.10882295902304051,107.0,10.52622986305051,0.4704277164110142,0.6090909090909091,0.4649839025738813,0.4704277164110142,False
"(1, 4)","(5, 5)",asymmetric,0,13.77553885872614,7.039188661114139,3.368175098806001,8.067289297104459,0.03589276465489899,130.0,11.194173437483137,0.4801361234127366,0.5045454545454545,0.4394453104112783,0.4801361234127366,False
"(1, 4)","(5, 6)",asymmetric,0,13.650080371686702,7.164647148153576,3.2427166117665633,8.562931190667419,0.5315346582178595,139.0,11.933355301524315,0.48872576752331465,0.4636363636363636,0.4323263696048979,0.4636363636363636,False
"(1, 4)","(5, 7)",asymmetric,0,13.5370614576533,7.277666062186979,3.12969769773316,8.296878507320576,0.2654819748710171,118.0,12.725430892660288,0.4964637234975947,0.5590909090909091,0.4656055068258295,0.4964637234975947,False
"(1, 4)","(6, 0)",asymmetric,0,15.107052455471958,5.7076750643683205,4.699688695551819,7.267465529246061,0.7639310032034983,75.0,10.123105625617661,0.3889726780824332,0.7545454545454545,0.45974724321309623,0.3889726780824332,False
"(1, 4)","(6, 1)",near-symmetric,1,14.389595994395115,6.425131525445162,3.982232234474977,7.3360049246044765,0.6953916078450826,90.0,10.20586815591588,0.4380940712293764,0.6863636363636363,0.5187655336467167,0.4380940712293764,False
"(1, 4)","(6, 2)",asymmetric,0,14.07317795725522,6.7415495625850586,3.665814197335081,7.760642843591826,0.27075368885773266,104.0,10.44766094595442,0.459757956976261,0.6227272727272728,0.46267295600393843,0.459757956976261,False
"(1, 4)","(6, 3)",asymmetric,0,13.880964198058077,6.933763321782201,3.4736004381379386,7.957642862208626,0.07375367024093249,113.0,10.831309558117031,0.4729180693259405,0.5818181818181818,0.45829629614101886,0.4729180693259405,False
"(1, 4)","(6, 4)",asymmetric,0,13.760891812609868,7.0538357072304105,3.353528052689729,8.484048006914186,0.45265147446462617,129.0,11.334208176545639,0.48113894846171434,0.509090909090909,0.4414106418043013,0.48113894846171434,False
"(1, 4)","(6, 5)",asymmetric,0,13.705032994053663,7.109694525786615,3.2976692341335236,8.452241379525919,0.42084484707635994,147.0,11.933355301524315,0.4849633798187124,0.42727272727272725,0.4191598460730456,0.42727272727272725,False
"(1, 4)","(6, 6)",asymmetric,0,13.593257131726798,7.221470388113481,3.1858933718066584,8.826258834438296,0.7948623019887364,146.0,12.60838699985623,0.49261622898179,0.43181818181818177,0.4251151919345285,0.43181818181818177,False
"(1, 4)","(6, 7)",asymmetric,0,13.576673859504101,7.238053660336178,3.1693100995839623,8.708086911793373,0.6766903793438148,127.0,13.342650082910549,0.49375161973886983,0.5181818181818182,0.45170551729786734,0.49375161973886983,False
"(1, 4)","(7, 0)",asymmetric,0,14.7957045286016,6.019022991238679,4.38834076868146,7.419688456098072,0.6117080763514866,98.0,11.123105625617661,0.4102894335247492,0.65,0.44117366011484954,0.4102894335247492,False
"(1, 4)","(7, 1)",asymmetric,0,14.190198228188613,6.624529291651666,3.782834468268473,7.383912335194374,0.6474841972551846,118.0,11.194173437483137,0.4517460439940384,0.5590909090909091,0.43877489912369577,0.4517460439940384,False
"(1, 4)","(7, 2)",asymmetric,0,13.945042881237795,6.869684638602484,3.5376791213176553,7.677629565293286,0.35376696715627265,121.0,11.403215514898179,0.4685308564989977,0.5454545454545454,0.44475487753576226,0.4685308564989977,False
"(1, 4)","(7, 3)",asymmetric,0,13.76269986104618,7.052027658794099,3.35533610112604,7.791117474561533,0.24027905788802606,124.0,11.73887873148157,0.4810151585693835,0.5318181818181817,0.44815454968708457,0.4810151585693835,False
"(1, 4)","(7, 4)",asymmetric,0,13.72139635043452,7.093331169405758,3.314032590514382,8.53986897274177,0.508472440292211,138.0,12.18536337391621,0.4838430458255092,0.46818181818181814,0.4307603729498509,0.46818181818181814,False
"(1, 4)","(7, 5)",asymmetric,0,13.597244552219378,7.217482967620901,3.1898807922992383,8.252148423060333,0.22075189061077438,126.0,12.725430892660288,0.49234322614428794,0.5227272727272727,0.45222411750475455,0.49234322614428794,False
"(1, 4)","(7, 6)",asymmetric,0,13.592951426910249,7.22177609293003,3.1855876669901098,8.741454901946064,0.7100583694965046,129.0,13.342650082910549,0.4926371593758909,0.509090909090909,0.4483095683528073,0.4926371593758909,False
"(1, 4)","(7, 7)",asymmetric,0,13.460185398395826,7.354542121444452,3.052821638475687,8.499286844386873,0.4678903119373148,125.0,14.022600562229325,0.5017271218154609,0.5272727272727273,0.4592180912710947,0.5017271218154609,False
"(1, 5)","(1, 6)",asymmetric,0,7.696764855040682,0.2233063142704097,3.736729270385136,7.112272256175199,0.5192945448222717,118.0,11.181782043891005,0.8963256260318647,0.5590909090909091,0.7055226483463916,0.5590909090909091,False
"(1, 5)","(1, 7)",asymmetric,0,7.503736834281687,0.4163343350294042,3.5437012496261415,6.964322569900592,0.37134485854766464,113.0,12.17008732545826,0.9095414876352956,0.5818181818181818,0.720270347126632,0.5818181818181818,False
