alpha,attack,coeff_row,coeff_col,mean_abs_change,std_abs_change,median_abs_change,mean_rel_change
0.1,real_esrgan,5,0,5.874191876803073,7.000554744744951,3.784511548182976,2.810531324656086
0.1,real_esrgan,5,1,5.039944474785323,5.311350988008967,3.4395202926251067,2.0039504070208203
0.1,real_esrgan,5,2,4.526994024407972,4.596876072422782,3.0402138388097013,2.6447777663838306
0.1,real_esrgan,5,3,4.139091735045342,4.150707044014974,2.6518175788730862,2.5608925842762087
0.1,real_esrgan,5,4,3.9253696065573123,3.905476595657628,2.451177040372224,7.856633346624883
0.1,real_esrgan,5,5,3.716580711405499,3.716706057078471,2.3865063763011345,3.270152104683602
0.1,real_esrgan,5,6,3.5806762910665513,3.6086436168040312,2.2344001534377993,3.4613823351328636
0.1,real_esrgan,5,7,3.4004420742576205,3.528986948466291,2.0853629135431166,2.8611432870512754
0.1,real_esrgan,6,0,5.464524867824361,6.929826413258525,3.1287803991060583,1.8876076250747553
0.1,real_esrgan,6,1,4.664623309610261,5.115502713525023,3.0495564195292664,2.9438251494601473
0.1,real_esrgan,6,2,4.2137743119873905,4.4525350571902,2.7873406013336313,2.1099033186220058
0.1,real_esrgan,6,3,3.9366059935356827,4.004667305573069,2.5667249540698203,2.249854443569287
0.1,real_esrgan,6,4,3.722116647646942,3.818924841101603,2.3826276361367125,2.6879221072297077
0.1,real_esrgan,6,5,3.6252479280375343,3.638641471989108,2.2296233772829517,3.5796775511999646
0.1,real_esrgan,6,6,3.447634050037702,3.563899208122948,2.0870066972200085,5.4564484071360235
0.1,real_esrgan,6,7,3.4107414528281494,3.500459930344921,2.086779105301327,2.723142988900144
0.1,real_esrgan,7,0,5.349614412108898,6.89637252609454,3.0899842432333435,2.773061064230958
0.1,real_esrgan,7,1,4.454500370798061,5.095991800923911,2.7294355387110603,2.4867464138326874
0.1,real_esrgan,7,2,4.07091841568572,4.385804983391126,2.6601560060324325,2.983458874352054
0.1,real_esrgan,7,3,3.7600231686641656,3.9283150485281455,2.3317304871211673,2.288988048316426
0.1,real_esrgan,7,4,3.633030971143559,3.7270780882273367,2.230806948045482,2.421520979813969
0.1,real_esrgan,7,5,3.4698553161190646,3.6411942128979904,2.0734255289135954,3.386885043853132
0.1,real_esrgan,7,6,3.436451917454853,3.5578278087818207,2.0845648076034236,3.0108794399331726
0.1,real_esrgan,7,7,3.265118427257034,3.528834234256789,1.9793969089175691,2.931265125906476
0.1,jpeg_q50,0,0,4.191779421997072,3.2008434316199406,3.5265312499999766,0.002735091753513275
0.1,jpeg_q50,0,1,3.6047437233341344,2.698541859027979,3.077037205034186,0.7902462778093958
0.1,jpeg_q50,0,2,2.774819040091876,2.129929508682331,2.357273689504978,1.1197717030968255
0.1,jpeg_q50,0,3,3.081638109455687,2.3776865721664238,2.5418481044042007,2.1931042591737797
0.1,jpeg_q50,0,4,3.3372828839111315,2.678249888738289,2.6129999999999542,14.629118295687851
0.1,jpeg_q50,0,5,3.5361372694351907,2.811734753003644,2.8064319140085567,3.9023404772334853
0.1,jpeg_q50,0,6,4.106385057453839,3.523415308005947,3.2827243489943316,5.22713521861663
0.1,jpeg_q50,0,7,4.002764115908246,3.2758706004106326,3.1221684850430282,4.047138461723146
0.1,jpeg_q50,1,0,3.7078634428298956,2.740769856682165,3.1541150571395433,0.6372109365891747
0.1,jpeg_q50,1,1,3.474215367060013,2.611686152812462,2.9682771196368756,1.9632224926366453
0.1,jpeg_q50,1,2,2.767894898118838,2.1386544716628624,2.342346453512665,1.5983255892757295
0.1,jpeg_q50,1,3,3.053466012463234,2.3698774412466657,2.522009151137592,2.587239804589522
0.1,jpeg_q50,1,4,4.139243991592476,3.1698876622527026,3.5100258276812775,0.9607781678623815
0.1,jpeg_q50,1,5,3.511641059676206,2.8263103602280917,2.701416511114204,3.5266295850457676
0.1,jpeg_q50,1,6,4.133942389343325,3.5667886510270916,3.225946748503972,2.5235759993500824
0.1,jpeg_q50,1,7,3.933757754181118,3.297012685004586,3.027954136423678,5.7171666907332375
0.1,jpeg_q50,2,0,3.0394927653529207,2.335519576567742,2.55839625840719,3.7569607552910855
0.1,jpeg_q50,2,1,2.973832797978675,2.304828232790577,2.5276712244393815,3.4054924092867833
0.1,jpeg_q50,2,2,2.979366628094728,2.3529842737676976,2.525564692807098,1.2978456982686948
0.1,jpeg_q50,2,3,3.158520964911553,2.5375709751652034,2.6262545724253017,2.531199670663405
0.1,jpeg_q50,2,4,3.5921154392228662,3.0166472056530136,2.91445596916797,2.5755992450044767
0.1,jpeg_q50,2,5,3.750022578853389,3.1894643479062887,2.9577027823325235,3.5725964295903117
0.1,jpeg_q50,2,6,4.509131352163825,4.067326091983302,3.238835629168971,4.381902179677982
0.1,jpeg_q50,2,7,4.277426117461783,3.7398731659992426,3.2500345590709188,4.751504787699599
0.1,jpeg_q50,3,0,3.4746518519017617,2.658441266108685,2.9404775660243168,2.1886158875821713
0.1,jpeg_q50,3,1,3.326336480316899,2.5632048968034256,2.8050389443750827,2.6842088953747414
0.1,jpeg_q50,3,2,3.1258530326059986,2.516964243935212,2.6300946434845436,1.7981828912995053
0.1,jpeg_q50,3,3,3.338708917735984,2.683817824451261,2.7262040036714787,3.285360105890143
0.1,jpeg_q50,3,4,4.2831010756458054,3.155113361314621,3.652660522542492,9.12073177090834
0.1,jpeg_q50,3,5,3.853352445984666,3.233708203782592,2.9623700577211505,7.0598554877119435
0.1,jpeg_q50,3,6,4.510462274079772,4.045395502960982,3.2711069516406637,2.7680870332364655
0.1,jpeg_q50,3,7,4.275563932748749,3.751659611950474,3.107657803919993,9.484923029906277
0.1,jpeg_q50,4,0,4.108835717163085,3.1765200882027305,3.4559843750000523,5.581043618113042
0.1,jpeg_q50,4,1,4.980034257719728,3.6832314505968564,4.159989692412176,1.7451982877333956
0.1,jpeg_q50,4,2,3.6046981117439207,3.0333903870090135,2.927164601089828,2.2854083781377215
0.1,jpeg_q50,4,3,4.023519917996147,3.134430293949754,3.245960209607696,6.7342122332549605
0.1,jpeg_q50,4,4,3.9486138385009766,3.4924399668743025,2.860093749999978,3.2857175877692995
0.1,jpeg_q50,4,5,4.2168137550101115,3.5865740282095286,3.174401665919599,5.2845627450299535
0.1,jpeg_q50,4,6,4.668334591776919,4.300435451130306,3.197898333565485,2.307414293838379
0.1,jpeg_q50,4,7,4.633038734933049,4.0063815644099385,3.3336855857336567,5.701680020135447
0.1,jpeg_q50,5,0,3.851228298795557,2.9532010880889845,3.2440121710786456,8.62784441956368
0.1,jpeg_q50,5,1,3.7396469123373923,2.913912631997038,3.081702141990239,3.92701289718314
0.1,jpeg_q50,5,2,3.588465516518134,2.983642884895336,2.961718260998518,3.2349545833137423
0.1,jpeg_q50,5,3,3.7693194683508064,3.1316554546067397,2.9511263712045404,4.897399440021791
0.1,jpeg_q50,5,4,4.351339592493926,3.523204362275907,3.3398572243291644,7.23794699594257
0.1,jpeg_q50,5,5,4.203190388547986,3.639018339334221,3.149259349504261,6.501727115706819
0.1,jpeg_q50,5,6,4.784220740397636,4.3852200299870585,3.2829116092867334,4.320256325491049
0.1,jpeg_q50,5,7,4.491640337951219,4.072180258642962,3.1059594333312064,5.20501460440065
0.1,jpeg_q50,6,0,3.3509034546838206,2.7142156148059224,2.8556254555787546,2.7049847302958403
0.1,jpeg_q50,6,1,3.4566921322610464,2.8264363602485183,2.8718960382538836,5.0263119401068845
0.1,jpeg_q50,6,2,3.9392573237644903,3.380664079829931,3.254699145074934,2.1045603219500353
0.1,jpeg_q50,6,3,4.124046132328316,3.5737882992079815,3.235397285099846,2.812012236879221
0.1,jpeg_q50,6,4,4.660926056345537,4.2511367367824695,3.325156968625123,2.4304903684831736
0.1,jpeg_q50,6,5,4.661954573914312,4.213868647793358,3.3971644548814437,6.732545915110727
0.1,jpeg_q50,6,6,5.028489250099067,4.860946390483985,3.1742271631964822,2.341789197264375
0.1,jpeg_q50,6,7,4.897757840234268,4.585037382789051,3.16467554550646,4.800275849606463
0.1,jpeg_q50,7,0,3.506475447461979,2.730003680464569,2.9984921057269647,5.608561973791675
0.1,jpeg_q50,7,1,3.5196203745836487,2.8087640056420673,2.9447680919601833,5.547062213103101
