coeff_pair,symmetry,attack,mean_nc,esrgan_damage_p1,esrgan_damage_p2,esrgan_delta,esrgan_combined,jpeg_delta,jpeg_combined
"(7,5)/(7,7)",near-symmetric,real_esrgan,0.8640625,3.1898807922992383,3.052821638475687,0.13705915382355105,6.2427024307749255,0.2471384213265404,8.720038734997647
"(7,5)/(7,7)",near-symmetric,jpeg_compression_q50,0.8931640625,3.1898807922992383,3.052821638475687,0.13705915382355105,6.2427024307749255,0.2471384213265404,8.720038734997647
"(7,5)/(7,7)",near-symmetric,gaussian_blur_5x5,0.9765625,3.1898807922992383,3.052821638475687,0.13705915382355105,6.2427024307749255,0.2471384213265404,8.720038734997647
"(7,5)/(7,7)",near-symmetric,espcn_x4,0.99990234375,3.1898807922992383,3.052821638475687,0.13705915382355105,6.2427024307749255,0.2471384213265404,8.720038734997647
"(4,7)/(7,7)",asymmetric,real_esrgan,0.85263671875,3.216483961012089,3.052821638475687,0.163662322536402,6.269305599487776,0.13036866877226405,8.836808487551924
"(4,7)/(7,7)",asymmetric,jpeg_compression_q50,0.78857421875,3.216483961012089,3.052821638475687,0.163662322536402,6.269305599487776,0.13036866877226405,8.836808487551924
"(4,7)/(7,7)",asymmetric,gaussian_blur_5x5,0.969921875,3.216483961012089,3.052821638475687,0.163662322536402,6.269305599487776,0.13036866877226405,8.836808487551924
"(4,7)/(7,7)",asymmetric,espcn_x4,0.99951171875,3.216483961012089,3.052821638475687,0.163662322536402,6.269305599487776,0.13036866877226405,8.836808487551924
"(5,6)/(7,7)",asymmetric,real_esrgan,0.847265625,3.2427166117665633,3.052821638475687,0.18989497329087612,6.2955382502422506,0.06364434628054472,9.030821502604734
"(5,6)/(7,7)",asymmetric,jpeg_compression_q50,0.72734375,3.2427166117665633,3.052821638475687,0.18989497329087612,6.2955382502422506,0.06364434628054472,9.030821502604734
"(5,6)/(7,7)",asymmetric,gaussian_blur_5x5,0.94580078125,3.2427166117665633,3.052821638475687,0.18989497329087612,6.2955382502422506,0.06364434628054472,9.030821502604734
"(5,6)/(7,7)",asymmetric,espcn_x4,0.99921875,3.2427166117665633,3.052821638475687,0.18989497329087612,6.2955382502422506,0.06364434628054472,9.030821502604734
"(5,7)/(6,7)",asymmetric,real_esrgan,0.85703125,3.12969769773316,3.1693100995839623,0.03961240185080239,6.299007797317122,0.4112084044727977,8.973568886664392
"(5,7)/(6,7)",asymmetric,jpeg_compression_q50,0.77001953125,3.12969769773316,3.1693100995839623,0.03961240185080239,6.299007797317122,0.4112084044727977,8.973568886664392
"(5,7)/(6,7)",asymmetric,gaussian_blur_5x5,0.97822265625,3.12969769773316,3.1693100995839623,0.03961240185080239,6.299007797317122,0.4112084044727977,8.973568886664392
"(5,7)/(6,7)",asymmetric,espcn_x4,0.999609375,3.12969769773316,3.1693100995839623,0.03961240185080239,6.299007797317122,0.4112084044727977,8.973568886664392
"(5,7)/(7,6)",near-symmetric,real_esrgan,0.853515625,3.12969769773316,3.1855876669901098,0.05588996925694989,6.31528536472327,0.4445763946254875,9.00693687681708
"(5,7)/(7,6)",near-symmetric,jpeg_compression_q50,0.76220703125,3.12969769773316,3.1855876669901098,0.05588996925694989,6.31528536472327,0.4445763946254875,9.00693687681708
"(5,7)/(7,6)",near-symmetric,gaussian_blur_5x5,0.978125,3.12969769773316,3.1855876669901098,0.05588996925694989,6.31528536472327,0.4445763946254875,9.00693687681708
"(5,7)/(7,6)",near-symmetric,espcn_x4,0.99970703125,3.12969769773316,3.1855876669901098,0.05588996925694989,6.31528536472327,0.4445763946254875,9.00693687681708
"(5,7)/(6,6)",near-symmetric,real_esrgan,0.8525390625,3.12969769773316,3.1858933718066584,0.05619567407349857,6.315591069539819,0.5293803271177193,9.091740809309313
"(5,7)/(6,6)",near-symmetric,jpeg_compression_q50,0.72216796875,3.12969769773316,3.1858933718066584,0.05619567407349857,6.315591069539819,0.5293803271177193,9.091740809309313
"(5,7)/(6,6)",near-symmetric,gaussian_blur_5x5,0.97412109375,3.12969769773316,3.1858933718066584,0.05619567407349857,6.315591069539819,0.5293803271177193,9.091740809309313
"(5,7)/(6,6)",near-symmetric,espcn_x4,0.99970703125,3.12969769773316,3.1858933718066584,0.05619567407349857,6.315591069539819,0.5293803271177193,9.091740809309313
"(5,7)/(7,5)",symmetric,real_esrgan,0.85087890625,3.12969769773316,3.1898807922992383,0.0601830945660784,6.319578490032399,0.04473008426024272,8.51763039793135
"(5,7)/(7,5)",symmetric,jpeg_compression_q50,0.76923828125,3.12969769773316,3.1898807922992383,0.0601830945660784,6.319578490032399,0.04473008426024272,8.51763039793135
"(5,7)/(7,5)",symmetric,gaussian_blur_5x5,0.97822265625,3.12969769773316,3.1898807922992383,0.0601830945660784,6.319578490032399,0.04473008426024272,8.51763039793135
"(5,7)/(7,5)",symmetric,espcn_x4,0.99970703125,3.12969769773316,3.1898807922992383,0.0601830945660784,6.319578490032399,0.04473008426024272,8.51763039793135
"(3,7)/(7,7)",asymmetric,real_esrgan,0.8486328125,3.276443177348746,3.052821638475687,0.2236215388730587,6.329264815824433,0.46748242137571605,8.499694734948473
"(3,7)/(7,7)",asymmetric,jpeg_compression_q50,0.7818359375,3.276443177348746,3.052821638475687,0.2236215388730587,6.329264815824433,0.46748242137571605,8.499694734948473
"(3,7)/(7,7)",asymmetric,gaussian_blur_5x5,0.96376953125,3.276443177348746,3.052821638475687,0.2236215388730587,6.329264815824433,0.46748242137571605,8.499694734948473
