image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
t002,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,39.798327004887724,0.9707119825770004,0.1040389537811279,512,512
t003,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.82129579128638,0.9787227294745026,0.1023309230804443,512,512
t003,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.714399672577315,0.978179784476788,0.1009330749511718,512,512
t003,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,38.476200520243665,0.9770562848577548,0.1023199558258056,512,512
t003,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,38.26292367315536,0.9759741391619302,0.1042249202728271,512,512
t004,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.58477588897087,0.9789224972114016,0.1133649349212646,512,512
t004,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.49422174563837,0.9786115654980958,0.1039838790893554,512,512
t004,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,39.31113855093295,0.9778845399838896,0.1019701957702636,512,512
t004,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,39.132594466997965,0.97721321406005,0.1019032001495361,512,512
t005,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.69389718781241,0.979492765206412,0.1023519039154052,512,512
t005,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.59291394200597,0.9790933466662808,0.1015620231628418,512,512
t005,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,39.39652507312725,0.978273325826991,0.1024432182312011,512,512
t005,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,39.195659092366114,0.9774468912308332,0.1047949790954589,512,512
t006,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,40.796668616978415,0.97275947111712,0.104421854019165,512,512
t006,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.711766635705075,0.9723723258352802,0.1024370193481445,512,512
t006,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.54618154247987,0.9716596274927664,0.1007401943206787,512,512
t006,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.37160057678615,0.970823525443499,0.1022810935974121,512,512
t007,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,37.39240778296737,0.9849264693141814,0.1094470024108886,512,512
t007,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,37.26151124894831,0.9844722969598072,0.1122088432312011,512,512
t007,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,37.025549456383615,0.9836467928866144,0.1042118072509765,512,512
t007,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,36.78920438569091,0.9827829765807512,0.1031129360198974,512,512
t008,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,40.92912011437457,0.9758651246010164,0.1020410060882568,512,512
t008,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.866238163169726,0.9754935955349296,0.1021990776062011,512,512
