predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,mutual_info,description,scope
mean_abs_diff_pert,100,-0.8452548207033954,2.016103221301921e-28,-0.8805914640146962,1.4940242933946315e-33,0.8495697449928237,differential perturbation |dC1-dC2|,standard
mean_abs_diff_pert,100,-0.8311396587687103,1.0135132414831056e-26,-0.8693306619395842,9.327657151713727e-32,0.8284771558690647,differential perturbation |dC1-dC2|,balanced
mean_abs_diff_pert,100,-0.7259231226866384,1.289170693099775e-17,-0.7816007823355456,8.366079000772892e-22,0.4762203884303884,differential perturbation |dC1-dC2|,hf
std_diff_pert,300,-0.8427907858209471,3.709451132641359e-82,-0.8869049453421196,5.835131438950571e-102,0.9233003498697236,differential perturbation std,pooled
std_diff_pert,100,-0.8872016317727043,1.0813464411863865e-34,-0.9227727192999579,2.2521965401312e-42,1.1921595316676084,differential perturbation std,standard
std_diff_pert,100,-0.7646093679015471,2.0998860956955557e-20,-0.825458168760045,4.4341995333441414e-26,0.6173369538371087,differential perturbation std,balanced
std_diff_pert,100,-0.7801037326845881,1.1241160786936264e-21,-0.8379686468704016,1.596205838962581e-27,0.608676985441575,differential perturbation std,hf
mean_abs_common_pert,300,-0.1610760272194951,0.005165054950728476,-0.12371997054220855,0.03217872157711204,0.03767735266927019,common-mode perturbation |(dC1+dC2)/2|,pooled
mean_abs_common_pert,100,0.2058087290229469,0.03995065820487006,0.25359761944798315,0.01090103358141912,0.06224845813548274,common-mode perturbation |(dC1+dC2)/2|,standard
mean_abs_common_pert,100,0.13406089699342424,0.18359554854388654,0.16036173372135482,0.11098334166926258,0.0,common-mode perturbation |(dC1+dC2)/2|,balanced
mean_abs_common_pert,100,0.33211760799245105,0.0007360767212285457,0.3978576262037561,4.1473976453019476e-05,0.10864230198172109,common-mode perturbation |(dC1+dC2)/2|,hf
std_common_pert,300,-0.24321235062643565,2.0525200625325676e-05,-0.2197294464437989,0.00012458041985084311,0.011953710904806236,common-mode perturbation std,pooled
std_common_pert,100,0.088510627963658,0.38119387486997974,0.15999351930009414,0.11181648331410957,0.0,common-mode perturbation std,standard
std_common_pert,100,0.08807808705903748,0.38353444300760065,0.11719134445400359,0.24556634815001052,0.0,common-mode perturbation std,balanced
std_common_pert,100,0.25037069799127015,0.011991970391875516,0.3013787421276484,0.0023107971802294293,0.056542477232989,common-mode perturbation std,hf
mean_abs_m_before,300,-0.03934577649084704,0.49719692574267327,-0.0707992882164676,0.22144484232921968,0.07211565718829105,mean |margin| before,pooled
mean_abs_m_before,100,0.17934961946554384,0.07418761814859608,0.2283812821725998,0.022289855930841485,0.06809706091880585,mean |margin| before,standard
mean_abs_m_before,100,0.28522851209186423,0.00402200338666539,0.32314782625060645,0.0010406524183239946,0.08382187774996686,mean |margin| before,balanced
mean_abs_m_before,100,0.5051503785096202,8.327681018956674e-08,0.5187667856467751,3.218373855552707e-08,0.16054464219701803,mean |margin| before,hf
min_abs_m_before,300,0.004797803621130023,0.9340471819645888,-0.0726529065895711,0.20955472922771382,0.060628810358515306,min |margin| before,pooled
min_abs_m_before,100,-0.02127847349032503,0.83356365062767,-0.0037986533782288583,0.9700791014512391,0.0,min |margin| before,standard
min_abs_m_before,100,-0.1048904718325536,0.2989975366016266,-0.023199433542894048,0.8187846523841629,0.0,min |margin| before,balanced
min_abs_m_before,100,-0.0901104601823908,0.372612135437233,-0.11297577107773857,0.2630799124891138,0.019691573395989703,min |margin| before,hf
median_abs_m_before,300,0.09967520145987852,0.08479591039155997,0.06414239595339173,0.2680857165679267,0.1012612124961696,median |margin| before,pooled
median_abs_m_before,100,0.4002352208399186,3.693366480804227e-05,0.3773749094627516,0.00010864349869783942,0.14440028216591294,median |margin| before,standard
median_abs_m_before,100,0.38794773206193267,6.661387205837463e-05,0.39467241197170166,4.837654080254768e-05,0.09156739365944233,median |margin| before,balanced
median_abs_m_before,100,0.5383945399959666,7.579602366733709e-09,0.5488680534533159,3.3711361374498586e-09,0.16926766475160981,median |margin| before,hf
mean_abs_m_after,300,0.09733402079556534,0.09240710508707659,0.12056519696295218,0.03687440370519693,0.030718548294048187,mean |margin| after,pooled
mean_abs_m_after,100,0.27148293859324046,0.006291086652540543,0.333231316650348,0.0007045840044816458,0.09218328149999477,mean |margin| after,standard
mean_abs_m_after,100,0.3679962403142726,0.0001653717596658142,0.38176450158609254,8.885523211498603e-05,0.18342654229643074,mean |margin| after,balanced
mean_abs_m_after,100,0.5891457997189069,1.1347357042193041e-10,0.6483354605293553,3.0419683127728353e-13,0.31795680036616414,mean |margin| after,hf
margin_var_after,300,-0.13189941467651123,0.022311676627428084,-0.0992375852994685,0.08617892623194408,0.01593645252083231,margin variance after,pooled
margin_var_after,100,-0.019767686013128144,0.8452280563181763,0.09187580287627777,0.3632805857558776,0.041048335407916525,margin variance after,standard
margin_var_after,100,0.17095796371478705,0.08901249382626196,0.23438268890800718,0.018917412950755653,0.04607869494140404,margin variance after,balanced
margin_var_after,100,0.4800841137506975,4.317027773272851e-07,0.5430410337084691,5.309191555751008e-09,0.18723195562342054,margin variance after,hf
