image,selected_pair,embedding_cost,alpha_adaptive,standard_psnr,adaptive_psnr,psnr_improvement
t049.png,"(4,7)/(5,7)",0.19862614244371388,0.18408673643406234,40.40260291558282,43.08854017964208,2.6859372640592625
t050.png,"(4,7)/(5,7)",0.20230265229907196,0.2736651365716423,36.711779994774055,41.934564560096874,5.222784565322819
t051.png,"(4,7)/(5,7)",0.23868732856378688,0.2217255947082496,39.825662248798054,44.520750983468204,4.695088734670151
t052.png,"(4,7)/(5,7)",0.1970539100157168,0.1664069395935745,42.64798140910404,44.896710589045405,2.248729179941364
t053.png,"(4,7)/(5,7)",0.21962077888559423,0.2400787103589998,39.37738506009049,42.887026947773556,3.509641887683067
t054.png,"(4,7)/(5,7)",0.2501654957023982,0.13328547287315642,44.061078340722666,45.34478955094364,1.2837112102209716
t055.png,"(4,7)/(5,7)",0.18449868286578927,0.16449028665370646,41.51153860262326,44.717975166349284,3.2064365637260224
t056.png,"(4,7)/(5,7)",0.21081564245617135,0.2370925943454304,38.35382972952481,42.31033099844669,3.956501268921876
t057.png,"(4,7)/(5,7)",0.18323369871538941,0.17868832233534607,39.800545724889595,44.464620448650685,4.66407472376109
t058.png,"(7,4)/(7,7)",0.229703247655484,0.23074655998426288,39.237743830227146,43.28637162322491,4.048627792997763
t059.png,"(4,7)/(5,7)",0.21594226133652844,0.21666923735824692,39.93504480601271,43.42007662882462,3.485031822811905
t060.png,"(4,7)/(5,7)",0.19349632926348986,0.11887731504760174,42.118625140025955,45.15022380281132,3.0315986627853633
t061.png,"(4,7)/(5,7)",0.18251990188935852,0.18825687490682053,38.27666133188905,44.15379047670299,5.877129144813935
t062.png,"(4,7)/(5,7)",0.24009667807585566,0.12069294366991448,43.21550571039842,45.50492964738496,2.2894239369865446
t063.png,"(4,7)/(5,7)",0.19766298781186342,0.17230425120182974,40.686620834805176,44.781374491383225,4.09475365657805
t064.png,"(4,7)/(5,7)",0.1603666556443028,0.18104586710304335,37.48938221491035,44.191467099807554,6.702084884897204
t065.png,"(4,7)/(5,7)",0.19513584768611622,0.16894674834933449,40.82460414847062,44.528001685183234,3.7033975367126146
t066.png,"(4,7)/(5,7)",0.22255734508200858,0.19780405105867796,39.16819840777356,43.220628096362105,4.052429688588546
t067.png,"(4,7)/(5,7)",0.023811284153191063,0.15746794346717932,40.05547435078092,41.8623375824655,1.8068632316845807
t068.png,"(7,4)/(7,7)",0.16792651376590195,0.11598354437000577,42.248437133920845,45.270606668883076,3.022169534962231
t069.png,"(7,4)/(7,7)",0.17705069153848849,0.10826669921206025,41.807724524266725,45.3781680833814,3.570443559114672
t070.png,"(4,7)/(5,7)",0.21783009735641395,0.1946152507658016,37.76422441706725,43.485557854807986,5.721333437740739
t071.png,"(4,7)/(5,7)",0.18964640880242992,0.1757170063157857,39.9128732044604,44.535201095450496,4.622327890990093
t072.png,"(4,7)/(5,7)",0.1842815328393314,0.1877249446706326,39.17943758182958,43.76338445731956,4.583946875489978
t073.png,"(7,4)/(7,7)",0.21793449396269854,0.23562571164654061,39.96469988195435,43.15179250715157,3.1870926251972165
t074.png,"(4,7)/(5,7)",0.22957788158276396,0.1293452732648595,43.85313279518033,45.49088572204832,1.6377529268679893
t075.png,"(4,7)/(5,7)",0.16864847945136074,0.14729556377224182,38.79647177298695,44.43094039353598,5.634468620549029
t076.png,"(6,7)/(7,5)",0.21227763508737457,0.12419400018458196,41.70555021153589,45.10239201975779,3.396841808221893
