coeff_pair,direction,attack_name,image,nc,ber
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim10.png,0.9453125,0.02734375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim10.png,0.853515625,0.0732421875
"(1,4)/(7,7)",B,espcn_x4,kodim10.png,0.998046875,0.0009765625
"(1,4)/(7,7)",B,real_esrgan,kodim11.png,0.88671875,0.056640625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim11.png,0.970703125,0.0146484375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim11.png,0.837890625,0.0810546875
"(1,4)/(7,7)",B,espcn_x4,kodim11.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim12.png,0.859375,0.0703125
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim12.png,0.9765625,0.01171875
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim12.png,0.890625,0.0546875
"(1,4)/(7,7)",B,espcn_x4,kodim12.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim13.png,0.88671875,0.056640625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim13.png,0.94921875,0.025390625
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim13.png,0.53515625,0.232421875
"(1,4)/(7,7)",B,espcn_x4,kodim13.png,0.99609375,0.001953125
"(1,4)/(7,7)",B,real_esrgan,kodim14.png,0.84375,0.078125
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim14.png,0.95703125,0.021484375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim14.png,0.630859375,0.1845703125
"(1,4)/(7,7)",B,espcn_x4,kodim14.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim15.png,0.8046875,0.09765625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim15.png,0.94140625,0.029296875
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim15.png,0.79296875,0.103515625
"(1,4)/(7,7)",B,espcn_x4,kodim15.png,0.986328125,0.0068359375
"(1,4)/(7,7)",B,real_esrgan,kodim16.png,0.90234375,0.048828125
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim16.png,0.982421875,0.0087890625
