coeff_pair,direction,attack_name,image,nc,ber
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim16.png,0.916015625,0.0419921875
"(1,4)/(7,7)",B,espcn_x4,kodim16.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim17.png,0.91015625,0.044921875
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim17.png,0.970703125,0.0146484375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim17.png,0.830078125,0.0849609375
"(1,4)/(7,7)",B,espcn_x4,kodim17.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim18.png,0.896484375,0.0517578125
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim18.png,0.951171875,0.0244140625
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim18.png,0.705078125,0.1474609375
"(1,4)/(7,7)",B,espcn_x4,kodim18.png,0.998046875,0.0009765625
"(1,4)/(7,7)",B,real_esrgan,kodim19.png,0.791015625,0.1044921875
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim19.png,0.97265625,0.013671875
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim19.png,0.87109375,0.064453125
"(1,4)/(7,7)",B,espcn_x4,kodim19.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim20.png,0.490234375,0.2548828125
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim20.png,0.798828125,0.1005859375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim20.png,0.826171875,0.0869140625
"(1,4)/(7,7)",B,espcn_x4,kodim20.png,0.990234375,0.0048828125
"(1,0)/(7,7)",A,real_esrgan,kodim01.png,0.291015625,0.3544921875
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim01.png,0.818359375,0.0908203125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim01.png,0.306640625,0.3466796875
"(1,0)/(7,7)",A,espcn_x4,kodim01.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim02.png,0.427734375,0.2861328125
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim02.png,0.873046875,0.0634765625
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim02.png,0.697265625,0.1513671875
"(1,0)/(7,7)",A,espcn_x4,kodim02.png,0.998046875,0.0009765625
"(1,0)/(7,7)",A,real_esrgan,kodim03.png,0.431640625,0.2841796875
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim03.png,0.75390625,0.123046875
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim03.png,0.537109375,0.2314453125
"(1,0)/(7,7)",A,espcn_x4,kodim03.png,0.99609375,0.001953125
"(1,0)/(7,7)",A,real_esrgan,kodim04.png,0.3359375,0.33203125
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim04.png,0.748046875,0.1259765625
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim04.png,0.412109375,0.2939453125
"(1,0)/(7,7)",A,espcn_x4,kodim04.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim05.png,0.423828125,0.2880859375
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim05.png,0.802734375,0.0986328125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim05.png,0.236328125,0.3818359375
"(1,0)/(7,7)",A,espcn_x4,kodim05.png,0.984375,0.0078125
"(1,0)/(7,7)",A,real_esrgan,kodim06.png,0.470703125,0.2646484375
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim06.png,0.822265625,0.0888671875
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim06.png,0.421875,0.2890625
"(1,0)/(7,7)",A,espcn_x4,kodim06.png,0.974609375,0.0126953125
"(1,0)/(7,7)",A,real_esrgan,kodim07.png,0.423828125,0.2880859375
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim07.png,0.74609375,0.126953125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim07.png,0.42578125,0.287109375
"(1,0)/(7,7)",A,espcn_x4,kodim07.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim08.png,0.232421875,0.3837890625
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim08.png,0.75,0.125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim08.png,0.27734375,0.361328125
"(1,0)/(7,7)",A,espcn_x4,kodim08.png,0.978515625,0.0107421875
"(1,0)/(7,7)",A,real_esrgan,kodim09.png,0.28515625,0.357421875
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim09.png,0.70703125,0.146484375
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim09.png,0.412109375,0.2939453125
"(1,0)/(7,7)",A,espcn_x4,kodim09.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim10.png,0.259765625,0.3701171875
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim10.png,0.7109375,0.14453125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim10.png,0.404296875,0.2978515625
"(1,0)/(7,7)",A,espcn_x4,kodim10.png,0.98828125,0.005859375
"(1,0)/(7,7)",A,real_esrgan,kodim11.png,0.484375,0.2578125
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim11.png,0.818359375,0.0908203125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim11.png,0.443359375,0.2783203125
"(1,0)/(7,7)",A,espcn_x4,kodim11.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim12.png,0.490234375,0.2548828125
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim12.png,0.81640625,0.091796875
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim12.png,0.541015625,0.2294921875
"(1,0)/(7,7)",A,espcn_x4,kodim12.png,0.978515625,0.0107421875
"(1,0)/(7,7)",A,real_esrgan,kodim13.png,0.416015625,0.2919921875
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim13.png,0.8828125,0.05859375
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim13.png,0.244140625,0.3779296875
"(1,0)/(7,7)",A,espcn_x4,kodim13.png,0.98046875,0.009765625
"(1,0)/(7,7)",A,real_esrgan,kodim14.png,0.533203125,0.2333984375
