image,selected_pair,embedding_cost,attack_name,nc_adaptive,nc_standard,psnr_adaptive,psnr_standard,ssim_adaptive,ssim_standard,alpha_adaptive,nc_adaptive_strength,ber_adaptive_strength,psnr_adaptive_strength,ssim_adaptive_strength
kodim19.png,"(7,4)/(7,7)",0.2360508606229359,jpeg_compression_q50,0.818359375,1.0,32.129030200443,31.97718731222738,0.8948440493908816,0.8862259949126431,0.16156286663708325,0.82421875,0.087890625,32.1257196789533,0.8948127473485655
kodim19.png,"(7,4)/(7,7)",0.2360508606229359,gaussian_blur_5x5,0.98828125,0.931640625,27.519320688370755,27.61356017171684,0.8436269318976004,0.8418442795363159,0.16156286663708325,0.990234375,0.0048828125,27.51925676806197,0.8436261951890858
kodim20.png,"(4,7)/(5,7)",0.19330262117452335,real_esrgan,0.380859375,0.455078125,32.89902872105109,32.636625565423174,0.9280683964192861,0.9263145366121522,0.10768412858549549,0.380859375,0.3095703125,32.898597551137335,0.9280476108723833
kodim20.png,"(4,7)/(5,7)",0.19330262117452335,jpeg_compression_q50,0.46484375,0.8203125,33.18879462639404,33.063873893714785,0.9116586930403677,0.9049620846522848,0.10768412858549549,0.46484375,0.267578125,33.18872011878847,0.9116189541470777
kodim20.png,"(4,7)/(5,7)",0.19330262117452335,gaussian_blur_5x5,0.984375,0.92578125,29.371294574381672,29.43107809677507,0.9037468054241037,0.9001474007411815,0.10768412858549549,0.984375,0.0078125,29.371240529794214,0.9037464493556344
kodim21.png,"(7,4)/(7,7)",0.22631139357822033,real_esrgan,0.794921875,0.759765625,31.2524751394092,31.035523222974305,0.9281039308876767,0.926406807676044,0.14398295959303836,0.80859375,0.095703125,31.249505978759935,0.928043110410289
kodim21.png,"(7,4)/(7,7)",0.22631139357822033,jpeg_compression_q50,0.697265625,0.9921875,31.004987153721785,30.818345648981236,0.9060506255354218,0.8902115903844526,0.14398295959303836,0.705078125,0.1474609375,31.00240598297067,0.9059741143814352
kodim21.png,"(7,4)/(7,7)",0.22631139357822033,gaussian_blur_5x5,0.958984375,0.89453125,27.7520532535138,27.79196020661727,0.871786718119106,0.866944542734327,0.14398295959303836,0.958984375,0.0205078125,27.75198880041153,0.8717871587827456
kodim22.png,"(4,7)/(5,7)",0.19183370493082383,real_esrgan,0.935546875,0.912109375,30.56507463835593,30.369077554770087,0.8810826073965963,0.877738362105103,0.14915327815683066,0.93359375,0.033203125,30.563414917136214,0.8809914142556524
kodim22.png,"(4,7)/(5,7)",0.19183370493082383,jpeg_compression_q50,0.90234375,0.998046875,31.285921304974945,31.306095908910745,0.8633343511179992,0.8578335843940131,0.14915327815683066,0.90234375,0.048828125,31.28290802972669,0.8632388612358035
kodim22.png,"(4,7)/(5,7)",0.19183370493082383,gaussian_blur_5x5,0.990234375,0.970703125,29.60838755351842,29.764025022687047,0.8493714228442871,0.8488198081363506,0.14915327815683066,0.990234375,0.0048828125,29.60824775299239,0.8493667152653587
kodim23.png,"(4,7)/(5,7)",0.18361861426425796,real_esrgan,0.92578125,0.837890625,33.13857139423866,32.73876200977146,0.9437007274036101,0.9393818403953484,0.10376218217735039,0.92578125,0.037109375,33.138497218469055,0.9436989936459229
kodim23.png,"(4,7)/(5,7)",0.18361861426425796,jpeg_compression_q50,0.6640625,1.0,34.15118191611219,33.95569765947775,0.9159636071212076,0.903211900053718,0.10376218217735039,0.666015625,0.1669921875,34.151897744277065,0.9159605747297231
kodim23.png,"(4,7)/(5,7)",0.18361861426425796,gaussian_blur_5x5,0.9921875,0.982421875,32.27960590358256,32.281171706831145,0.9490443063525671,0.9440523981119237,0.10376218217735039,0.9921875,0.00390625,32.27957410736171,0.9490441037318442
kodim24.png,"(4,7)/(5,7)",0.19945289397699026,real_esrgan,0.818359375,0.796875,29.09403626604984,28.96702031448389,0.9158426158115421,0.9122368959137962,0.16688258678311202,0.81640625,0.091796875,29.088710500410055,0.9157300336915823
kodim24.png,"(4,7)/(5,7)",0.19945289397699026,jpeg_compression_q50,0.884765625,0.970703125,29.541854076127336,29.5942627436508,0.889590348360794,0.8845201946464866,0.16688258678311202,0.88671875,0.056640625,29.53755171822384,0.8895286188833067
kodim24.png,"(4,7)/(5,7)",0.19945289397699026,gaussian_blur_5x5,0.94921875,0.900390625,26.180714487590908,26.375126184290085,0.8323163500018644,0.8317815880019329,0.16688258678311202,0.953125,0.0234375,26.180315182358747,0.8323082414296438
t001.png,"(4,7)/(5,7)",0.15982878958766172,real_esrgan,0.87890625,0.779296875,32.194987435715355,31.43591865226294,0.9324541804321678,0.922315626647214,0.1162151794956371,0.8828125,0.05859375,32.19590837651313,0.9324492182757025
t001.png,"(4,7)/(5,7)",0.15982878958766172,jpeg_compression_q50,0.611328125,1.0,34.279192523172675,33.653512613038984,0.9156105846816197,0.8987033782111532,0.1162151794956371,0.61328125,0.193359375,34.27806113603675,0.9155977768711981
t001.png,"(4,7)/(5,7)",0.15982878958766172,gaussian_blur_5x5,0.99609375,0.94921875,32.620340566698694,32.3441675712194,0.9376720152905461,0.9295984638071249,0.1162151794956371,0.998046875,0.0009765625,32.620202226747715,0.9376706354082028
t002.png,"(7,4)/(7,7)",0.18007425128517754,real_esrgan,0.828125,0.658203125,30.09509706513628,29.590185292042555,0.9395944926771408,0.9312751101124898,0.13243315594181895,0.83203125,0.083984375,30.098379679682278,0.9396261613853848
