image,dataset,coefficient_pair,alpha,attack,nc,ber,psnr,ssim,esrgan_source
kodim11,kodak,standard,0.1,gaussian_blur,0.951171875,0.0244140625,28.510913261726415,0.834610461925854,
kodim11,kodak,balanced,0.1,none,1.0,0.0,40.86514247545588,0.982689748921103,
kodim11,kodak,balanced,0.1,real_esrgan,0.857421875,0.0712890625,30.66869852833909,0.9110051827184643,live_canonical
kodim11,kodak,balanced,0.1,jpeg_q50,0.99609375,0.001953125,31.132209231578646,0.8739728363691212,
kodim11,kodak,balanced,0.1,gaussian_blur,0.95703125,0.021484375,28.48857734922899,0.8343402530994201,
kodim11,kodak,hf,0.1,none,1.0,0.0,43.81253458068321,0.9875313267064821,
kodim11,kodak,hf,0.1,real_esrgan,0.9296875,0.03515625,31.03396275220352,0.9150788054561715,disk_precomputed_canonical
kodim11,kodak,hf,0.1,jpeg_q50,0.8984375,0.05078125,31.38208988160366,0.8822975759686903,
kodim11,kodak,hf,0.1,gaussian_blur,0.994140625,0.0029296875,28.627946676573337,0.8426837152486102,
kodim12,kodak,standard,0.1,none,1.0,0.0,42.59541083175286,0.9778326130656527,
kodim12,kodak,standard,0.1,real_esrgan,0.888671875,0.0556640625,32.431620933556445,0.9162364117221452,disk_precomputed_canonical
kodim12,kodak,standard,0.1,jpeg_q50,0.998046875,0.0009765625,33.76531354307559,0.8800106218563833,
kodim12,kodak,standard,0.1,gaussian_blur,0.974609375,0.0126953125,31.351690343562982,0.883682810562909,
kodim12,kodak,balanced,0.1,none,1.0,0.0,42.847913668530396,0.9792065838549755,
kodim12,kodak,balanced,0.1,real_esrgan,0.916015625,0.0419921875,32.39895040675182,0.9176031119446519,live_canonical
kodim12,kodak,balanced,0.1,jpeg_q50,1.0,0.0,33.8229293856394,0.8840453406769312,
kodim12,kodak,balanced,0.1,gaussian_blur,0.986328125,0.0068359375,31.348768507934185,0.8831459986488266,
kodim12,kodak,hf,0.1,none,1.0,0.0,44.71152562743863,0.9829050379369463,
kodim12,kodak,hf,0.1,real_esrgan,0.92578125,0.037109375,32.71123977955351,0.9222693388194365,disk_precomputed_canonical
kodim12,kodak,hf,0.1,jpeg_q50,0.890625,0.0546875,34.11350738830167,0.8944066379414121,
kodim12,kodak,hf,0.1,gaussian_blur,1.0,0.0,31.495954138616476,0.8922765012993344,
kodim13,kodak,standard,0.1,none,0.998046875,0.0009765625,38.94964593617576,0.9888471887554519,
kodim13,kodak,standard,0.1,real_esrgan,0.912109375,0.0439453125,27.881781160806312,0.8656812637821418,disk_precomputed_canonical
kodim13,kodak,standard,0.1,jpeg_q50,0.9921875,0.00390625,27.386474486842364,0.8569064917745662,
kodim13,kodak,standard,0.1,gaussian_blur,0.853515625,0.0732421875,23.92501861975125,0.7267092971517394,
kodim13,kodak,balanced,0.1,none,1.0,0.0,38.697809921876875,0.9892992100978818,
kodim13,kodak,balanced,0.1,real_esrgan,0.9140625,0.04296875,27.87545639294445,0.8660362968380553,live_canonical
kodim13,kodak,balanced,0.1,jpeg_q50,0.99609375,0.001953125,27.378015524004553,0.8572147305381539,
kodim13,kodak,balanced,0.1,gaussian_blur,0.873046875,0.0634765625,23.91397975747517,0.7263688423634905,
kodim13,kodak,hf,0.1,none,1.0,0.0,41.71385559103996,0.9937892541709883,
kodim13,kodak,hf,0.1,real_esrgan,0.955078125,0.0224609375,28.029630400884432,0.8676236886307982,disk_precomputed_canonical
kodim13,kodak,hf,0.1,jpeg_q50,0.955078125,0.0224609375,27.530174292096508,0.8616046192859583,
kodim13,kodak,hf,0.1,gaussian_blur,0.9140625,0.04296875,23.996859085750994,0.7329478403201947,
kodim14,kodak,standard,0.1,none,1.0,0.0,39.70894049545273,0.9830133251937846,
kodim14,kodak,standard,0.1,real_esrgan,0.8828125,0.05859375,29.4771203175053,0.9078031157354549,disk_precomputed_canonical
kodim14,kodak,standard,0.1,jpeg_q50,1.0,0.0,29.497727214907425,0.8665896889368402,
kodim14,kodak,standard,0.1,gaussian_blur,0.90234375,0.048828125,27.95721649335432,0.8365027446244205,
kodim14,kodak,balanced,0.1,none,1.0,0.0,39.81597263912504,0.9830196504918197,
kodim14,kodak,balanced,0.1,real_esrgan,0.9140625,0.04296875,29.478581323404192,0.9076929828104975,live_canonical
kodim14,kodak,balanced,0.1,jpeg_q50,0.998046875,0.0009765625,29.50137959881048,0.8658640826012308,
kodim14,kodak,balanced,0.1,gaussian_blur,0.94140625,0.029296875,27.950956412972687,0.8353619620699654,
kodim14,kodak,hf,0.1,none,1.0,0.0,43.38780409902348,0.9908021761343834,
kodim14,kodak,hf,0.1,real_esrgan,0.92578125,0.037109375,29.773460804407854,0.9136698987161321,disk_precomputed_canonical
kodim14,kodak,hf,0.1,jpeg_q50,0.98828125,0.005859375,29.724314405688578,0.8742452287563426,
kodim14,kodak,hf,0.1,gaussian_blur,0.978515625,0.0107421875,28.11218689434132,0.8450896836494212,
kodim15,kodak,standard,0.1,none,0.9921875,0.00390625,41.91954914017756,0.9761111312329026,
kodim15,kodak,standard,0.1,real_esrgan,0.791015625,0.1044921875,30.136694817831504,0.8829575361112921,disk_precomputed_canonical
kodim15,kodak,standard,0.1,jpeg_q50,0.98046875,0.009765625,32.49165026327563,0.8689482087907004,
kodim15,kodak,standard,0.1,gaussian_blur,0.953125,0.0234375,30.449398788179337,0.8922552739601325,
kodim15,kodak,balanced,0.1,none,0.99609375,0.001953125,42.349142723487844,0.9782994511732133,
kodim15,kodak,balanced,0.1,real_esrgan,0.79296875,0.103515625,30.125707379320353,0.8848646634701102,live_canonical
kodim15,kodak,balanced,0.1,jpeg_q50,0.9921875,0.00390625,32.545974166873954,0.8728209222968824,
