coeff_pair,p1,p2,symmetry_class,symmetry_num,is_symmetric,is_near_or_sym,joint_stability_esrgan,combined_damage_esrgan,stability_diff_esrgan,max_damage_esrgan,joint_stability_jpeg,combined_damage_jpeg,stability_diff_jpeg,freq_radius_p1,freq_radius_p2,freq_radius_sum,freq_radius_diff,nc_real_esrgan,ber_real_esrgan,nc_jpeg_compression_q50,ber_jpeg_compression_q50,nc_gaussian_blur_5x5,ber_gaussian_blur_5x5,nc_espcn_x4,ber_espcn_x4,nc_overall
"(1,0)/(7,5)","(1, 0)","(7, 5)",asymmetric,0,0,0,3.1898807922992383,13.570820429529027,7.19105884493055,10.380939637229789,3.699818570514221,7.936268727349775,0.5366315863213331,1.0,8.602325267042627,9.602325267042627,7.602325267042627,0.41572265625,0.292138671875,0.876953125,0.0615234375,0.43359375,0.283203125,0.98916015625,0.005419921875,0.678857421875
"(1,4)/(4,7)","(1, 4)","(4, 7)",asymmetric,0,0,0,3.216483961012089,13.623847720932229,7.19087979890805,10.40736375992014,4.0156982662247795,8.36891817561461,0.33752164316505073,4.123105625617661,8.06225774829855,12.18536337391621,3.9391521226808885,0.8099609375,0.09501953125,0.96953125,0.015234375,0.83271484375,0.083642578125,0.9978515625,0.00107421875,0.9025146484375
"(1,4)/(5,6)","(1, 4)","(5, 6)",asymmetric,0,0,0,3.2427166117665633,13.650080371686702,7.164647148153576,10.40736375992014,4.0156982662247795,8.562931190667419,0.5315346582178595,4.123105625617661,7.810249675906654,11.933355301524315,3.6871440502889934,0.80205078125,0.098974609375,0.9654296875,0.01728515625,0.82724609375,0.086376953125,0.9982421875,0.00087890625,0.8982421875
"(1,0)/(4,7)","(1, 0)","(4, 7)",asymmetric,0,0,0,3.216483961012089,13.597423598241878,7.164455676217699,10.380939637229789,3.699818570514221,8.053038479904052,0.6534013388756095,1.0,8.06225774829855,9.06225774829855,7.062257748298549,0.4142578125,0.29287109375,0.930859375,0.0345703125,0.45625,0.271875,0.99091796875,0.004541015625,0.6980712890625
"(1,0)/(5,6)","(1, 0)","(5, 6)",asymmetric,0,0,0,3.2427166117665633,13.623656248996351,7.138223025463225,10.380939637229789,3.699818570514221,8.24705149495686,0.8474143539284182,1.0,7.810249675906654,8.810249675906654,6.810249675906654,0.40419921875,0.297900390625,0.85283203125,0.073583984375,0.450390625,0.2748046875,0.9912109375,0.00439453125,0.6746582031249999
"(1,4)/(3,7)","(1, 4)","(3, 7)",asymmetric,0,0,0,3.276443177348746,13.683806937268885,7.1309205825713935,10.40736375992014,4.0156982662247795,8.031804423011158,0.0004078905615987338,4.123105625617661,7.615773105863909,11.73887873148157,3.492667480246248,0.82333984375,0.088330078125,0.9908203125,0.00458984375,0.8537109375,0.07314453125,0.998046875,0.0009765625,0.9164794921875
"(1,4)/(4,6)","(1, 4)","(4, 6)",asymmetric,0,0,0,3.2837928415311013,13.69115660145124,7.1235709183890386,10.40736375992014,4.0156982662247795,8.450681869829202,0.4192853373796428,4.123105625617661,7.211102550927978,11.334208176545639,3.0879969253103177,0.80810546875,0.095947265625,0.964453125,0.0177734375,0.85322265625,0.073388671875,0.998046875,0.0009765625,0.90595703125
"(1,4)/(6,5)","(1, 4)","(6, 5)",asymmetric,0,0,0,3.2976692341335236,13.705032994053663,7.109694525786615,10.40736375992014,4.0156982662247795,8.452241379525919,0.42084484707635994,4.123105625617661,7.810249675906654,11.933355301524315,3.6871440502889934,0.80244140625,0.098779296875,0.95322265625,0.023388671875,0.82861328125,0.085693359375,0.99833984375,0.000830078125,0.8956542968750001
"(1,0)/(3,7)","(1, 0)","(3, 7)",asymmetric,0,0,0,3.276443177348746,13.657382814578535,7.104496459881043,10.380939637229789,3.699818570514221,7.7159247273005995,0.3162875862721575,1.0,7.615773105863909,8.615773105863909,6.615773105863909,0.44345703125,0.278271484375,0.96044921875,0.019775390625,0.47646484375,0.261767578125,0.99111328125,0.004443359375,0.71787109375
"(5,7)/(7,7)","(5, 7)","(7, 7)",near-symmetric,1,0,1,3.052821638475687,6.182519336208847,0.07687605925747265,3.12969769773316,4.281180241095797,8.764768819257892,0.20240833706629768,8.602325267042627,9.899494936611665,18.50182020365429,1.2971696695690387,0.8509765625,0.07451171875,0.87353515625,0.063232421875,0.9794921875,0.01025390625,0.9994140625,0.00029296875,0.9258544921875
"(6,7)/(7,7)","(6, 7)","(7, 7)",near-symmetric,1,0,1,3.052821638475687,6.22213173805965,0.11648846110827504,3.1693100995839623,4.483588578162094,9.175977223730689,0.20880006740650003,9.219544457292887,9.899494936611665,19.11903939390455,0.6799504793187783,0.8611328125,0.06943359375,0.7224609375,0.13876953125,0.98447265625,0.007763671875,0.99951171875,0.000244140625,0.89189453125
"(7,6)/(7,7)","(7, 6)","(7, 7)",near-symmetric,1,0,1,3.052821638475687,6.238409305465797,0.13276602851442254,3.1855876669901098,4.483588578162094,9.209345213883378,0.2421680575591898,9.219544457292887,9.899494936611665,19.11903939390455,0.6799504793187783,0.8630859375,0.06845703125,0.70009765625,0.149951171875,0.98388671875,0.008056640625,0.999609375,0.0001953125,0.8866699218749999
"(6,6)/(7,7)","(6, 6)","(7, 7)",near-symmetric,1,0,1,3.052821638475687,6.238715010282346,0.13307173333097122,3.1858933718066584,4.483588578162094,9.29414914637561,0.32697199005142163,8.48528137423857,9.899494936611665,18.384776310850235,1.4142135623730958,0.8509765625,0.07451171875,0.67353515625,0.163232421875,0.96650390625,0.016748046875,0.99970703125,0.000146484375,0.8726806640625
